"f","P_0A2","NOA","PE_INAC","0","0","1306300140027002","1","n"
"f","P_0A2","NOA","PE_INAC","0","0","1306300140027002","2","n"
"f","P_0A2","NOA","PE_INAC","0","0","1306300140027002","3","n"
"m","P_18A24","PA","PE_INAC","1","11","1306300140027002","4","n"
"m","P_3A5","PA","PE_INAC","0","0","1306300140027002","5","n"
"m","P_25A130","PA","PEA","2","11","1306300140027002","6","n"
"f","P_6A11","PA","PE_INAC","5","2","1306300140027002","7","n"
"m","P_12A14","PA","PE_INAC","1","3","1306300140027002","8","n"
"f","P_25A130","PA","PEA","3","11","1306300140027002","9","n"
"f","P_25A130","PA","PEA","3","11","1306300140027002","10","n"
"f","P_25A130","PA","PEA","3","11","1306300140027002","11","n"
"f","P_18A24","PA","PEA","2","11","1306300140027002","12","n"
"f","P_25A130","PA","PE_INAC","2","11","1306300140027002","13","n"
"f","P_18A24","PA","PE_INAC","3","4","1306300140027002","14","n"
"f","P_6A11","PA","PE_INAC","3","1","1306300140027002","15","n"
"f","P_18A24","PA","PEA","3","4","1306300140027002","16","n"
"f","P_18A24","PA","PEA","1","11","1306300140027002","17","n"
"f","P_25A130","PA","PEA","6","11","1306300140027002","18","n"
"f","P_25A130","PA","PEA","6","11","1306300140027002","19","n"
"m","P_25A130","PA","PEA","2","11","1306300140027002","20","n"
"m","P_25A130","PA","PEA","2","11","1306300140027002","21","n"
"m","P_25A130","PA","PEA","2","11","1306300140027002","22","n"
"m","P_18A24","PA","PEA","1","11","1306300140027002","23","n"
"m","P_15A17","PA","PE_INAC","1","4","1306300140027002","24","n"
"f","P_18A24","PA","PE_INAC","1","11","1306300140027002","25","n"
"m","P_12A14","PA","PE_INAC","6","2","1306300140027002","26","n"
"f","P_3A5","PA","PE_INAC","1","1","1306300140027002","27","n"
"m","P_6A11","PA","PE_INAC","4","2","1306300140027002","28","n"
"m","P_3A5","PA","PE_INAC","2","1","1306300140027002","29","n"
"m","P_12A14","PA","PE_INAC","5","2","1306300140027002","30","n"
"m","P_25A130","PA","PEA","3","4","1306300140027002","31","n"
